Saved checkpoint.
Global Step:   1410, accuracy:  40.3%, loss = 380702.16 (119632.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20010, accuracy:  94.0%, loss = 3349.49 (74200.4 examples/sec, 0.00 sec/batch)
Global Step:  20020, accuracy:  94.0%, loss = 2823.68 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20030, accuracy:  91.0%, loss = 4250.81 (54499.8 examples/sec, 0.01 sec/batch)
Global Step:  20040, accuracy:  91.7%, loss = 3607.44 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  20050, accuracy:  89.0%, loss = 6820.18 (119609.4 examples/sec, 0.00 sec/batch)
Global Step:  20060, accuracy:  90.7%, loss = 3791.74 (66491.8 examples/sec, 0.00 sec/batch)
Global Step:  20070, accuracy:  94.7%, loss = 2533.36 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:  20080, accuracy:  90.7%, loss = 5833.81 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  20090, accuracy:  90.7%, loss = 4629.61 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  20100, accuracy:  87.0%, loss = 5667.94 (99745.6 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20110, accuracy:  90.0%, loss = 6599.21 (99698.2 examples/sec, 0.00 sec/batch)
Global Step:  20120, accuracy:  90.7%, loss = 3550.37 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20130, accuracy:  87.0%, loss = 6690.46 (99714.0 examples/sec, 0.00 sec/batch)
Global Step:  20140, accuracy:  90.0%, loss = 5744.96 (99785.2 examples/sec, 0.00 sec/batch)
Global Step:  20150, accuracy:  88.0%, loss = 5751.41 (99375.4 examples/sec, 0.00 sec/batch)
Global Step:  20160, accuracy:  89.0%, loss = 5610.14 (65179.5 examples/sec, 0.00 sec/batch)
Global Step:  20170, accuracy:  89.7%, loss = 3772.48 (119882.9 examples/sec, 0.00 sec/batch)
Global Step:  20180, accuracy:  92.7%, loss = 3547.49 (100550.7 examples/sec, 0.00 sec/batch)
Global Step:  20190, accuracy:  90.3%, loss = 4557.07 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  20200, accuracy:  93.3%, loss = 2307.04 (119291.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20210, accuracy:  89.3%, loss = 6695.43 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20220, accuracy:  88.0%, loss = 7335.02 (149547.3 examples/sec, 0.00 sec/batch)
Global Step:  20230, accuracy:  92.3%, loss = 3372.50 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  20240, accuracy:  91.0%, loss = 5912.18 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  20250, accuracy:  91.3%, loss = 4090.59 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  20260, accuracy:  92.7%, loss = 4764.29 (99714.0 examples/sec, 0.00 sec/batch)
Global Step:  20270, accuracy:  93.0%, loss = 5810.88 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:  20280, accuracy:  91.7%, loss = 6170.95 (119905.8 examples/sec, 0.00 sec/batch)
Global Step:  20290, accuracy:  90.0%, loss = 5159.35 (149636.2 examples/sec, 0.00 sec/batch)
Global Step:  20300, accuracy:  92.0%, loss = 4333.46 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20310, accuracy:  88.7%, loss = 4887.81 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20320, accuracy:  90.3%, loss = 3834.03 (58765.7 examples/sec, 0.01 sec/batch)
Global Step:  20330, accuracy:  91.3%, loss = 4026.24 (49928.2 examples/sec, 0.01 sec/batch)
Global Step:  20340, accuracy:  92.7%, loss = 5054.20 (39887.5 examples/sec, 0.01 sec/batch)
Global Step:  20350, accuracy:  90.0%, loss = 7362.63 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  20360, accuracy:  92.0%, loss = 5006.91 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:  20370, accuracy:  89.7%, loss = 5670.82 (85493.4 examples/sec, 0.00 sec/batch)
Global Step:  20380, accuracy:  89.0%, loss = 6483.90 (99698.2 examples/sec, 0.00 sec/batch)
Global Step:  20390, accuracy:  89.3%, loss = 6465.49 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:  20400, accuracy:  90.3%, loss = 7040.33 (99729.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20410, accuracy:  90.0%, loss = 4689.24 (99714.0 examples/sec, 0.00 sec/batch)
Global Step:  20420, accuracy:  87.0%, loss = 5946.78 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:  20430, accuracy:  90.3%, loss = 5260.42 (99769.4 examples/sec, 0.00 sec/batch)
Global Step:  20440, accuracy:  91.7%, loss = 3965.17 (119723.2 examples/sec, 0.00 sec/batch)
Global Step:  20450, accuracy:  89.7%, loss = 5366.37 (66763.5 examples/sec, 0.00 sec/batch)
Global Step:  20460, accuracy:  88.7%, loss = 6334.65 (84693.5 examples/sec, 0.00 sec/batch)
Global Step:  20470, accuracy:  90.3%, loss = 5038.85 (99721.9 examples/sec, 0.00 sec/batch)
Global Step:  20480, accuracy:  91.0%, loss = 3934.78 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  20490, accuracy:  90.0%, loss = 5440.41 (66488.3 examples/sec, 0.00 sec/batch)
Global Step:  20500, accuracy:  89.0%, loss = 5594.89 (99769.4 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20510, accuracy:  91.7%, loss = 4006.72 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  20520, accuracy:  89.3%, loss = 5687.14 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  20530, accuracy:  92.7%, loss = 4976.63 (99398.9 examples/sec, 0.00 sec/batch)
Global Step:  20540, accuracy:  94.0%, loss = 2285.07 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20550, accuracy:  88.7%, loss = 4871.58 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:  20560, accuracy:  90.0%, loss = 6662.98 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  20570, accuracy:  88.7%, loss = 5797.85 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  20580, accuracy:  90.7%, loss = 4041.12 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  20590, accuracy:  92.0%, loss = 3845.15 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  20600, accuracy:  92.7%, loss = 3187.47 (74804.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20610, accuracy:  91.3%, loss = 3342.98 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  20620, accuracy:  89.0%, loss = 6245.50 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  20630, accuracy:  89.0%, loss = 6861.37 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  20640, accuracy:  92.0%, loss = 3594.10 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:  20650, accuracy:  90.7%, loss = 4529.00 (59961.5 examples/sec, 0.01 sec/batch)
Global Step:  20660, accuracy:  92.3%, loss = 4183.75 (85054.2 examples/sec, 0.00 sec/batch)
Global Step:  20670, accuracy:  89.7%, loss = 5744.46 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  20680, accuracy:  89.0%, loss = 5714.90 (100366.2 examples/sec, 0.00 sec/batch)
Global Step:  20690, accuracy:  91.0%, loss = 5155.01 (100607.0 examples/sec, 0.00 sec/batch)
Global Step:  20700, accuracy:  90.0%, loss = 6353.77 (66502.4 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20710, accuracy:  89.0%, loss = 7108.64 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:  20720, accuracy:  92.3%, loss = 3848.20 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:  20730, accuracy:  88.3%, loss = 6406.53 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  20740, accuracy:  91.3%, loss = 4283.24 (100768.1 examples/sec, 0.00 sec/batch)
Global Step:  20750, accuracy:  91.0%, loss = 4824.56 (119620.8 examples/sec, 0.00 sec/batch)
Global Step:  20760, accuracy:  90.7%, loss = 3564.05 (99698.2 examples/sec, 0.00 sec/batch)
Global Step:  20770, accuracy:  93.3%, loss = 2235.64 (99682.4 examples/sec, 0.00 sec/batch)
Global Step:  20780, accuracy:  91.0%, loss = 4418.62 (74804.8 examples/sec, 0.00 sec/batch)
Global Step:  20790, accuracy:  92.0%, loss = 3734.02 (99824.8 examples/sec, 0.00 sec/batch)
Global Step:  20800, accuracy:  90.3%, loss = 4674.30 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20810, accuracy:  92.7%, loss = 3385.29 (98813.5 examples/sec, 0.00 sec/batch)
Global Step:  20820, accuracy:  91.0%, loss = 4151.25 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  20830, accuracy:  93.3%, loss = 3637.74 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  20840, accuracy:  96.0%, loss = 1635.89 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  20850, accuracy:  90.3%, loss = 6396.93 (83341.6 examples/sec, 0.00 sec/batch)
Global Step:  20860, accuracy:  91.0%, loss = 2126.97 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  20870, accuracy:  88.3%, loss = 7764.30 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  20880, accuracy:  91.0%, loss = 3817.38 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  20890, accuracy:  89.7%, loss = 4536.99 (85458.5 examples/sec, 0.00 sec/batch)
Global Step:  20900, accuracy:  90.0%, loss = 3617.20 (99729.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  20910, accuracy:  89.3%, loss = 4620.65 (75018.9 examples/sec, 0.00 sec/batch)
Global Step:  20920, accuracy:  90.3%, loss = 5358.43 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  20930, accuracy:  92.0%, loss = 3982.01 (120123.3 examples/sec, 0.00 sec/batch)
Global Step:  20940, accuracy:  93.0%, loss = 4253.89 (99383.2 examples/sec, 0.00 sec/batch)
Global Step:  20950, accuracy:  92.3%, loss = 3746.69 (119122.5 examples/sec, 0.00 sec/batch)
Global Step:  20960, accuracy:  92.7%, loss = 3751.55 (66484.8 examples/sec, 0.00 sec/batch)
Global Step:  20970, accuracy:  92.0%, loss = 3820.86 (85487.5 examples/sec, 0.00 sec/batch)
Global Step:  20980, accuracy:  89.7%, loss = 5529.28 (66502.4 examples/sec, 0.00 sec/batch)
Global Step:  20990, accuracy:  92.7%, loss = 3367.30 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  21000, accuracy:  90.0%, loss = 4965.42 (119643.5 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21010, accuracy:  89.7%, loss = 5851.99 (66488.3 examples/sec, 0.00 sec/batch)
Global Step:  21020, accuracy:  93.3%, loss = 4788.25 (74791.4 examples/sec, 0.00 sec/batch)
Global Step:  21030, accuracy:  90.7%, loss = 3956.31 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:  21040, accuracy:  90.7%, loss = 4662.93 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  21050, accuracy:  92.3%, loss = 2105.09 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21060, accuracy:  94.7%, loss = 2483.94 (66495.3 examples/sec, 0.00 sec/batch)
Global Step:  21070, accuracy:  92.0%, loss = 4230.11 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21080, accuracy:  90.0%, loss = 5220.83 (124006.2 examples/sec, 0.00 sec/batch)
Global Step:  21090, accuracy:  89.3%, loss = 4541.87 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:  21100, accuracy:  90.7%, loss = 3632.02 (99706.1 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21110, accuracy:  91.3%, loss = 4620.94 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21120, accuracy:  90.3%, loss = 3895.70 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21130, accuracy:  91.7%, loss = 3267.77 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21140, accuracy:  92.0%, loss = 4127.91 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21150, accuracy:  91.0%, loss = 4451.54 (99627.2 examples/sec, 0.00 sec/batch)
Global Step:  21160, accuracy:  93.0%, loss = 3878.05 (74804.8 examples/sec, 0.00 sec/batch)
Global Step:  21170, accuracy:  87.3%, loss = 5887.61 (149511.8 examples/sec, 0.00 sec/batch)
Global Step:  21180, accuracy:  89.7%, loss = 4628.66 (149582.9 examples/sec, 0.00 sec/batch)
Global Step:  21190, accuracy:  92.3%, loss = 4219.27 (149547.3 examples/sec, 0.00 sec/batch)
Global Step:  21200, accuracy:  90.3%, loss = 5643.91 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21210, accuracy:  90.7%, loss = 3861.78 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:  21220, accuracy:  93.0%, loss = 5577.50 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  21230, accuracy:  88.7%, loss = 4440.16 (103045.7 examples/sec, 0.00 sec/batch)
Global Step:  21240, accuracy:  90.7%, loss = 6042.21 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  21250, accuracy:  91.7%, loss = 4238.34 (102818.4 examples/sec, 0.00 sec/batch)
Global Step:  21260, accuracy:  88.7%, loss = 5535.14 (99769.4 examples/sec, 0.00 sec/batch)
Global Step:  21270, accuracy:  93.7%, loss = 2783.35 (103071.0 examples/sec, 0.00 sec/batch)
Global Step:  21280, accuracy:  94.3%, loss = 2538.97 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21290, accuracy:  93.7%, loss = 3863.04 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21300, accuracy:  90.3%, loss = 5745.84 (119711.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21310, accuracy:  92.0%, loss = 3370.70 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  21320, accuracy:  89.7%, loss = 6118.03 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  21330, accuracy:  90.3%, loss = 5908.93 (73080.0 examples/sec, 0.00 sec/batch)
Global Step:  21340, accuracy:  93.7%, loss = 2760.90 (84687.8 examples/sec, 0.00 sec/batch)
Global Step:  21350, accuracy:  92.7%, loss = 2633.95 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21360, accuracy:  91.3%, loss = 4902.82 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  21370, accuracy:  89.3%, loss = 5658.66 (99904.0 examples/sec, 0.00 sec/batch)
Global Step:  21380, accuracy:  91.3%, loss = 4045.87 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21390, accuracy:  90.7%, loss = 5456.82 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  21400, accuracy:  90.3%, loss = 5135.18 (119734.6 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21410, accuracy:  91.3%, loss = 3360.13 (99967.5 examples/sec, 0.00 sec/batch)
Global Step:  21420, accuracy:  91.7%, loss = 7032.63 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21430, accuracy:  91.0%, loss = 4092.49 (76543.1 examples/sec, 0.00 sec/batch)
Global Step:  21440, accuracy:  88.7%, loss = 4892.30 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:  21450, accuracy:  91.0%, loss = 4107.29 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  21460, accuracy:  91.3%, loss = 2853.39 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:  21470, accuracy:  90.0%, loss = 6316.89 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  21480, accuracy:  92.3%, loss = 2769.09 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:  21490, accuracy:  91.0%, loss = 4760.52 (85470.1 examples/sec, 0.00 sec/batch)
Global Step:  21500, accuracy:  91.0%, loss = 3842.37 (99721.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21510, accuracy:  93.7%, loss = 1955.83 (66484.8 examples/sec, 0.00 sec/batch)
Global Step:  21520, accuracy:  89.3%, loss = 3848.13 (49969.9 examples/sec, 0.01 sec/batch)
Global Step:  21530, accuracy:  91.7%, loss = 2800.55 (66488.3 examples/sec, 0.00 sec/batch)
Global Step:  21540, accuracy:  90.0%, loss = 3727.00 (85152.0 examples/sec, 0.00 sec/batch)
Global Step:  21550, accuracy:  88.7%, loss = 6547.59 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21560, accuracy:  94.3%, loss = 2962.32 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  21570, accuracy:  88.3%, loss = 5176.19 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21580, accuracy:  89.7%, loss = 4814.05 (119746.0 examples/sec, 0.00 sec/batch)
Global Step:  21590, accuracy:  92.7%, loss = 4690.24 (100150.5 examples/sec, 0.00 sec/batch)
Global Step:  21600, accuracy:  94.7%, loss = 2595.86 (119632.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21610, accuracy:  89.0%, loss = 4895.84 (74844.8 examples/sec, 0.00 sec/batch)
Global Step:  21620, accuracy:  89.0%, loss = 6498.32 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21630, accuracy:  90.0%, loss = 6086.04 (45378.2 examples/sec, 0.01 sec/batch)
Global Step:  21640, accuracy:  91.0%, loss = 4167.37 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21650, accuracy:  93.3%, loss = 2925.82 (100110.7 examples/sec, 0.00 sec/batch)
Global Step:  21660, accuracy:  95.3%, loss = 3787.02 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:  21670, accuracy:  90.3%, loss = 5575.80 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:  21680, accuracy:  91.0%, loss = 3577.29 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:  21690, accuracy:  89.3%, loss = 5840.65 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21700, accuracy:  92.0%, loss = 6013.89 (99769.4 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21710, accuracy:  89.0%, loss = 6649.31 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21720, accuracy:  92.7%, loss = 4082.82 (74827.0 examples/sec, 0.00 sec/batch)
Global Step:  21730, accuracy:  91.0%, loss = 4210.83 (149565.1 examples/sec, 0.00 sec/batch)
Global Step:  21740, accuracy:  89.7%, loss = 5318.54 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21750, accuracy:  91.0%, loss = 4115.22 (99714.0 examples/sec, 0.00 sec/batch)
Global Step:  21760, accuracy:  91.7%, loss = 3950.46 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  21770, accuracy:  92.3%, loss = 2672.17 (85464.3 examples/sec, 0.00 sec/batch)
Global Step:  21780, accuracy:  91.0%, loss = 4599.91 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  21790, accuracy:  92.3%, loss = 3574.11 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:  21800, accuracy:  90.3%, loss = 3779.18 (99721.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21810, accuracy:  91.0%, loss = 4124.96 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21820, accuracy:  92.3%, loss = 3331.44 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  21830, accuracy:  91.0%, loss = 3655.28 (59850.2 examples/sec, 0.01 sec/batch)
Global Step:  21840, accuracy:  93.0%, loss = 3485.29 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:  21850, accuracy:  94.3%, loss = 2570.98 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:  21860, accuracy:  90.3%, loss = 3666.61 (121503.6 examples/sec, 0.00 sec/batch)
Global Step:  21870, accuracy:  93.7%, loss = 3404.55 (65590.7 examples/sec, 0.00 sec/batch)
Global Step:  21880, accuracy:  91.0%, loss = 3885.21 (99721.9 examples/sec, 0.00 sec/batch)
Global Step:  21890, accuracy:  93.3%, loss = 4159.19 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21900, accuracy:  92.7%, loss = 4069.37 (119677.7 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  21910, accuracy:  92.3%, loss = 3959.77 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  21920, accuracy:  92.7%, loss = 4365.36 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21930, accuracy:  92.0%, loss = 3660.50 (149636.2 examples/sec, 0.00 sec/batch)
Global Step:  21940, accuracy:  91.0%, loss = 5643.14 (85470.1 examples/sec, 0.00 sec/batch)
Global Step:  21950, accuracy:  90.7%, loss = 4010.60 (85470.1 examples/sec, 0.00 sec/batch)
Global Step:  21960, accuracy:  92.0%, loss = 4185.74 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:  21970, accuracy:  90.7%, loss = 3543.54 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  21980, accuracy:  89.0%, loss = 5502.41 (119768.8 examples/sec, 0.00 sec/batch)
Global Step:  21990, accuracy:  90.3%, loss = 5583.31 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:  22000, accuracy:  91.3%, loss = 4061.30 (66467.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22010, accuracy:  90.0%, loss = 4659.24 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  22020, accuracy:  89.7%, loss = 4915.18 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  22030, accuracy:  92.7%, loss = 2571.27 (120792.1 examples/sec, 0.00 sec/batch)
Global Step:  22040, accuracy:  92.3%, loss = 3848.64 (99721.9 examples/sec, 0.00 sec/batch)
Global Step:  22050, accuracy:  92.0%, loss = 3550.65 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:  22060, accuracy:  93.3%, loss = 3386.38 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:  22070, accuracy:  91.7%, loss = 4024.56 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  22080, accuracy:  93.7%, loss = 1996.05 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  22090, accuracy:  94.7%, loss = 2311.38 (99721.9 examples/sec, 0.00 sec/batch)
Global Step:  22100, accuracy:  92.7%, loss = 3876.18 (102978.2 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22110, accuracy:  90.3%, loss = 5103.54 (120134.7 examples/sec, 0.00 sec/batch)
Global Step:  22120, accuracy:  92.3%, loss = 3231.79 (120826.9 examples/sec, 0.00 sec/batch)
Global Step:  22130, accuracy:  93.0%, loss = 2941.77 (85025.4 examples/sec, 0.00 sec/batch)
Global Step:  22140, accuracy:  90.0%, loss = 4140.73 (120157.7 examples/sec, 0.00 sec/batch)
Global Step:  22150, accuracy:  95.3%, loss = 2520.37 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  22160, accuracy:  91.3%, loss = 4006.25 (74787.0 examples/sec, 0.00 sec/batch)
Global Step:  22170, accuracy:  92.7%, loss = 4381.80 (149511.8 examples/sec, 0.00 sec/batch)
Global Step:  22180, accuracy:  91.3%, loss = 4415.42 (74791.4 examples/sec, 0.00 sec/batch)
Global Step:  22190, accuracy:  91.0%, loss = 3876.30 (66622.1 examples/sec, 0.00 sec/batch)
Global Step:  22200, accuracy:  91.7%, loss = 3726.89 (85071.4 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22210, accuracy:  92.7%, loss = 4310.88 (99729.8 examples/sec, 0.00 sec/batch)
Global Step:  22220, accuracy:  90.7%, loss = 3116.77 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:  22230, accuracy:  93.0%, loss = 3021.12 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:  22240, accuracy:  92.3%, loss = 4198.11 (74450.7 examples/sec, 0.00 sec/batch)
Global Step:  22250, accuracy:  86.0%, loss = 8201.84 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  22260, accuracy:  92.3%, loss = 3119.32 (66495.3 examples/sec, 0.00 sec/batch)
Global Step:  22270, accuracy:  91.3%, loss = 4203.69 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  22280, accuracy:  93.3%, loss = 2541.36 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:  22290, accuracy:  95.0%, loss = 1517.90 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:  22300, accuracy:  91.0%, loss = 5109.45 (119689.1 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22310, accuracy:  90.7%, loss = 6024.32 (102843.6 examples/sec, 0.00 sec/batch)
Global Step:  22320, accuracy:  92.7%, loss = 3536.39 (66484.8 examples/sec, 0.00 sec/batch)
Global Step:  22330, accuracy:  93.0%, loss = 2968.54 (74645.0 examples/sec, 0.00 sec/batch)
Global Step:  22340, accuracy:  93.3%, loss = 3411.17 (119609.4 examples/sec, 0.00 sec/batch)
Global Step:  22350, accuracy:  88.0%, loss = 5146.75 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:  22360, accuracy:  93.3%, loss = 2442.09 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:  22370, accuracy:  92.0%, loss = 4236.65 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:  22380, accuracy:  89.0%, loss = 5259.39 (119746.0 examples/sec, 0.00 sec/batch)
Global Step:  22390, accuracy:  92.0%, loss = 4163.08 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:  22400, accuracy:  92.3%, loss = 3245.89 (74818.1 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22410, accuracy:  91.3%, loss = 4173.19 (85481.7 examples/sec, 0.00 sec/batch)
Global Step:  22420, accuracy:  91.3%, loss = 3956.20 (98805.7 examples/sec, 0.00 sec/batch)
Global Step:  22430, accuracy:  92.0%, loss = 3681.46 (99304.8 examples/sec, 0.00 sec/batch)
Global Step:  22440, accuracy:  89.3%, loss = 3875.32 (75077.0 examples/sec, 0.00 sec/batch)
Global Step:  22450, accuracy:  90.3%, loss = 4017.09 (59847.4 examples/sec, 0.01 sec/batch)
Global Step:  22460, accuracy:  91.3%, loss = 3613.99 (119734.6 examples/sec, 0.00 sec/batch)
Global Step:  22470, accuracy:  93.7%, loss = 2997.72 (149600.7 examples/sec, 0.00 sec/batch)
Global Step:  22480, accuracy:  91.7%, loss = 3275.98 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  22490, accuracy:  91.0%, loss = 3276.53 (66505.9 examples/sec, 0.00 sec/batch)
Global Step:  22500, accuracy:  93.3%, loss = 3702.95 (99706.1 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:  22510, accuracy:  91.7%, loss = 3356.74 (120226.6 examples/sec, 0.00 sec/batch)
Global Step:  22520, accuracy:  93.3%, loss = 3436.86 (59827.5 examples/sec, 0.01 sec/batch)
Global Step:  22530, accuracy:  91.3%, loss = 5790.55 (99769.4 examples/sec, 0.00 sec/batch)
Global Step:  22540, accuracy:  92.3%, loss = 2993.68 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:  22550, accuracy:  93.0%, loss = 4299.93 (119746.0 examples/sec, 0.00 sec/batch)
Global Step:  22560, accuracy:  93.0%, loss = 3551.01 (60231.3 examples/sec, 0.00 sec/batch)
Global Step:  22570, accuracy:  91.0%, loss = 3824.16 (85528.2 examples/sec, 0.00 sec/batch)
Global Step:  22580, accuracy:  86.7%, loss = 5845.87 (99729.8 examples/sec, 0.00 sec/batch)
